ARO_accession,ARO_name,ARO_description,"AMR Gene Family","Drug Class","Antibiotic class","Resistance Mechanism",Total_reads,Gene_Count
ARO:3002143,DHA-12,"DHA-12 is a beta-lactamase. From the Lahey list of DHA beta-lactamases.","DHA beta-lactamase",cephalosporin;cephamycin,Beta-lactam,"antibiotic inactivation",13368,75
ARO:3002147,DHA-16,"DHA-16 is a beta-lactamase. From the Lahey list of DHA beta-lactamases.","DHA beta-lactamase",cephalosporin;cephamycin,Beta-lactam,"antibiotic inactivation",4252,9
ARO:3002148,DHA-17,"DHA-17 is a beta-lactamase. From the Lahey list of DHA beta-lactamases.","DHA beta-lactamase",cephalosporin;cephamycin,Beta-lactam,"antibiotic inactivation",2,1
ARO:3002149,DHA-18,"DHA-18 is a beta-lactamase. From the Lahey list of DHA beta-lactamases.","DHA beta-lactamase",cephalosporin;cephamycin,Beta-lactam,"antibiotic inactivation",6356,3
ARO:3002150,DHA-19,"DHA-19 is a beta-lactamase. From the Lahey list of DHA beta-lactamases.","DHA beta-lactamase",cephalosporin;cephamycin,Beta-lactam,"antibiotic inactivation",118,3
ARO:3002151,DHA-20,"DHA-20 is a beta-lactamase. From the Lahey list of DHA beta-lactamases.","DHA beta-lactamase",cephalosporin;cephamycin,Beta-lactam,"antibiotic inactivation",2,1
ARO:3002153,DHA-22,"DHA-22 is a beta-lactamase. From the Lahey list of DHA beta-lactamases.","DHA beta-lactamase",cephalosporin;cephamycin,Beta-lactam,"antibiotic inactivation",582,5
ARO:3002155,FOX-1,"FOX-1 is a beta-lactamase found in Klebsiella pneumoniae","FOX beta-lactamase",cephalosporin;cephamycin,Beta-lactam,"antibiotic inactivation",864,7
ARO:3002156,FOX-2,"FOX-2 is a beta-lactamase found in Escherichia coli","FOX beta-lactamase",cephalosporin;cephamycin,Beta-lactam,"antibiotic inactivation",1540,11
ARO:3002157,FOX-3,"FOX-3 is a beta-lactamase found in Klebsiella oxytoca","FOX beta-lactamase",cephalosporin;cephamycin,Beta-lactam,"antibiotic inactivation",186,6
ARO:3002158,FOX-4,"FOX-4 is a beta-lactamase found in Escherichia coli","FOX beta-lactamase",cephalosporin;cephamycin,Beta-lactam,"antibiotic inactivation",1446,7
ARO:3002160,FOX-7,"FOX-7 is a beta-lactamase found in Klebsiella pneumoniae","FOX beta-lactamase",cephalosporin;cephamycin,Beta-lactam,"antibiotic inactivation",532,1
ARO:3002161,FOX-8,"FOX-8 is a beta-lactamase found in the Enterobacteriaceae family","FOX beta-lactamase",cephalosporin;cephamycin,Beta-lactam,"antibiotic inactivation",676,1
ARO:3002162,FOX-10,"FOX-10 is a beta-lactamase. From the Lahey list of FOX beta-lactamases.","FOX beta-lactamase",cephalosporin;cephamycin,Beta-lactam,"antibiotic inactivation",814,8
ARO:3002163,FOX-9,"FOX-9 is a beta-lactamase. From the Lahey list of FOX beta-lactamases.","FOX beta-lactamase",cephalosporin;cephamycin,Beta-lactam,"antibiotic inactivation",1414,8
ARO:3002166,MIR-1,"MIR-1 is a beta-lactamase found in Klebsiella pneumoniae","MIR beta-lactamase",cephalosporin;monobactam,Beta-lactam,"antibiotic inactivation",42,1
ARO:3002169,MIR-3,"MIR-3 is a beta-lactamase. From the Lahey list of MIR beta-lactamases.","MIR beta-lactamase",cephalosporin;monobactam,Beta-lactam,"antibiotic inactivation",4,1
ARO:3002170,MIR-5,"MIR-5 is a beta-lactamase. From the Lahey list of MIR beta-lactamases.","MIR beta-lactamase",cephalosporin;monobactam,Beta-lactam,"antibiotic inactivation",14,2
ARO:3002174,MIR-9,"MIR-9 is a beta-lactamase. From the Lahey list of MIR beta-lactamases.","MIR beta-lactamase",cephalosporin;monobactam,Beta-lactam,"antibiotic inactivation",72,3
ARO:3002176,MIR-11,"MIR-11 is a beta-lactamase. From the Lahey list of MIR beta-lactamases.","MIR beta-lactamase",cephalosporin;monobactam,Beta-lactam,"antibiotic inactivation",42,3
ARO:3002177,MIR-12,"MIR-12 is a beta-lactamase. From the Lahey list of MIR beta-lactamases.","MIR beta-lactamase",cephalosporin;monobactam,Beta-lactam,"antibiotic inactivation",20,2
ARO:3002179,MIR-14,"MIR-14 is a beta-lactamase. From the Lahey list of MIR beta-lactamases.","MIR beta-lactamase",cephalosporin;monobactam,Beta-lactam,"antibiotic inactivation",824,6
ARO:3002180,MIR-15,"MIR-15 is a beta-lactamase. From the Lahey list of MIR beta-lactamases.","MIR beta-lactamase",cephalosporin;monobactam,Beta-lactam,"antibiotic inactivation",222,1
ARO:3002182,MOX-1,"MOX-1 is a beta-lactamase found in Klebsiella pneumoniae","MOX beta-lactamase",cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",172,2
ARO:3002183,MOX-2,"MOX-2 is a beta-lactamase found in Klebsiella pneumoniae","MOX beta-lactamase",cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",1064,5
ARO:3002184,MOX-4,"MOX-4 is a beta-lactamase found in Aeromonas caviae","MOX beta-lactamase",cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",80,3
ARO:3002185,MOX-6,"MOX-6 is a beta-lactamase found in Klebsiella pneumoniae","MOX beta-lactamase",cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",7668,18
ARO:3002186,MOX-3,"MOX-3 is a beta-lactamase. From the Lahey list of MOX beta-lactamases.","MOX beta-lactamase",cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",186,3
ARO:3002188,MOX-5,"MOX-5 is a beta-lactamase. From the Lahey list of MOX beta-lactamases.","MOX beta-lactamase",cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",224,4
ARO:3002189,MOX-7,"MOX-7 is a beta-lactamase. From the Lahey list of MOX beta-lactamases.","MOX beta-lactamase",cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",18,1
ARO:3002190,MOX-8,"MOX-8 is a beta-lactamase. From the Lahey list of MOX beta-lactamases.","MOX beta-lactamase",cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",114,4
ARO:3002191,MOX-9,"MOX-9 is a beta-lactamase found in Citrobacter freundii.","MOX beta-lactamase",cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",12642,50
ARO:3002216,IMP-25,"IMP-25 is a beta-lactamase found in Serratia marcescens","IMP beta-lactamase",carbapenem;cephalosporin;cephamycin;penam;penem,Beta-lactam,"antibiotic inactivation",60,1
ARO:3002218,IMP-27,"IMP-27 is a beta-lactamase. From the Lahey list of IMP beta-lactamases.","IMP beta-lactamase",carbapenem;cephalosporin;cephamycin;penam;penem,Beta-lactam,"antibiotic inactivation",6,1
ARO:3002222,IMP-31,"IMP-31 is a beta-lactamase. From the Lahey list of IMP beta-lactamases.","IMP beta-lactamase",carbapenem;cephalosporin;cephamycin;penam;penem,Beta-lactam,"antibiotic inactivation",4,1
ARO:3002225,IMP-34,"IMP-34 is a beta-lactamase found in Klebsiella spp.","IMP beta-lactamase",carbapenem;cephalosporin;cephamycin;penam;penem,Beta-lactam,"antibiotic inactivation",2,1
ARO:3002226,IMP-35,"IMP-35 is a beta-lactamase found in Pseudomonas aeruginosa","IMP beta-lactamase",carbapenem;cephalosporin;cephamycin;penam;penem,Beta-lactam,"antibiotic inactivation",10,1
ARO:3002242,CARB-3,"CARB-3 is a beta-lactamase found in Pseudomonas aeruginosa","CARB beta-lactamase",penam,Beta-lactam,"antibiotic inactivation",52,1
ARO:3002243,CARB-4,"CARB-4 is a beta-lactamase found in Pseudomonas aeruginosa","CARB beta-lactamase",penam,Beta-lactam,"antibiotic inactivation",416,4
ARO:3002244,CARB-5,"CARB-5 is a beta-lactamase found in Acinetobacter calcoaceticus","CARB beta-lactamase",penam,Beta-lactam,"antibiotic inactivation",166,4
ARO:3002245,CARB-6,"CARB-6 is a beta-lactamase found in Vibrio cholerae","CARB beta-lactamase",penam,Beta-lactam,"antibiotic inactivation",44,1
ARO:3002246,CARB-7,"CARB-7 is a beta-lactamase found in Vibrio cholerae.","CARB beta-lactamase",penam,Beta-lactam,"antibiotic inactivation",782,2
ARO:3002248,CARB-9,"CARB-9 is a beta-lactamase found in Vibrio cholerae","CARB beta-lactamase",penam,Beta-lactam,"antibiotic inactivation",4,1
ARO:3002250,CARB-12,"CARB-12 is a beta-lactamase. From the Lahey list of IMP beta-lactamases.","CARB beta-lactamase",penam,Beta-lactam,"antibiotic inactivation",82,2
ARO:3002252,CARB-14,"CARB-14 is a beta-lactamase found in Acinetobacter baumannii","CARB beta-lactamase",penam,Beta-lactam,"antibiotic inactivation",2,1
ARO:3002255,CARB-16,"CARB-16 is a beta-lactamase. From the Lahey list of IMP beta-lactamases.","CARB beta-lactamase",penam,Beta-lactam,"antibiotic inactivation",1788,1
ARO:3002264,IND-8,"IND-8 is a beta-lactamase found in Escherichia coli","IND beta-lactamase",carbapenem,Beta-lactam,"antibiotic inactivation",294,1
ARO:3002283,VIM-13,"VIM-13 is a beta-lactamase found in Pseudomonas aeruginosa","VIM beta-lactamase",carbapenem;cephalosporin;cephamycin;penam;penem,Beta-lactam,"antibiotic inactivation",4,1
ARO:3002286,VIM-16,"VIM-16 is a beta-lactamase found in Pseudomonas aeruginosa","VIM beta-lactamase",carbapenem;cephalosporin;cephamycin;penam;penem,Beta-lactam,"antibiotic inactivation",30,1
ARO:3002299,VIM-29,"VIM-29 is a beta-lactamase found in the Enterobacteriaceae family","VIM beta-lactamase",carbapenem;cephalosporin;cephamycin;penam;penem,Beta-lactam,"antibiotic inactivation",4,1
ARO:3002331,GES-2,"GES-2 is a beta-lactamase found in Pseudomonas aeruginosa","GES beta-lactamase",carbapenem;cephalosporin;penam,Beta-lactam,"antibiotic inactivation",24,1
ARO:3002337,GES-8,"GES-8 is a beta-lactamase found in Pseudomonas aeruginosa","GES beta-lactamase",carbapenem;cephalosporin;penam,Beta-lactam,"antibiotic inactivation",154,1
ARO:3002364,PER-2,"PER-2 is a beta-lactamase found in Salmonella typhimurium","PER beta-lactamase",carbapenem;cephalosporin;monobactam;penam;penem,Beta-lactam,"antibiotic inactivation",780,6
ARO:3002365,PER-3,"PER-3 is a beta-lactamase found in Aeromonas spp.","PER beta-lactamase",carbapenem;cephalosporin;monobactam;penam;penem,Beta-lactam,"antibiotic inactivation",42,2
ARO:3002366,PER-4,"PER-4 is a beta-lactamase. From the Lahey list of PER beta-lactamases.","PER beta-lactamase",carbapenem;cephalosporin;monobactam;penam;penem,Beta-lactam,"antibiotic inactivation",7096,16
ARO:3002368,PER-6,"PER-6 is a beta-lactamase found in Aeromonas allosaccharophila","PER beta-lactamase",carbapenem;cephalosporin;monobactam;penam;penem,Beta-lactam,"antibiotic inactivation",6954,6
ARO:3002369,PER-7,"PER-7 is a beta-lactamase found in Acinetobacter baumannii","PER beta-lactamase",carbapenem;cephalosporin;monobactam;penam;penem,Beta-lactam,"antibiotic inactivation",3518,21
ARO:3002370,VEB-1,"VEB-1 is a beta-lactamase found in Escherichia coli and Pseudomonas aeruginosa.","VEB beta-lactamase",cephalosporin;monobactam,Beta-lactam,"antibiotic inactivation",88,2
ARO:3002372,VEB-3,"VEB-3 is a beta-lactamase found in Enterobacter cloacae","VEB beta-lactamase",cephalosporin;monobactam,Beta-lactam,"antibiotic inactivation",3128,14
ARO:3002376,VEB-7,"VEB-7 is a beta-lactamase. From the Lahey list of VEB beta-lactamases.","VEB beta-lactamase",cephalosporin;monobactam,Beta-lactam,"antibiotic inactivation",174,4
ARO:3002387,BEL-3,"BEL-3 is a beta-lactamase found in Pseudomonas aeruginosa","BEL beta-lactamase",cephalosporin;monobactam;penam,Beta-lactam,"antibiotic inactivation",508,1
ARO:3002405,OXY-2-10,"OXY-2-10 is a beta-lactamase. From the Pasteur Institute (Genopole) list of OXY beta-lactamases.","OXY beta-lactamase",cephalosporin;monobactam;penam,Beta-lactam,"antibiotic inactivation",2,1
ARO:3002410,OXY-4-1,"OXY-4-1 is a beta-lactamase found in Klebsiella oxytoca","OXY beta-lactamase",cephalosporin;monobactam;penam,Beta-lactam,"antibiotic inactivation",4,1
ARO:3002423,OKP-A-6,"OKP-A-6 is a beta-lactamase found in Klebsiella pneumoniae","OKP beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",50,1
ARO:3002428,OKP-A-11,"OKP-A-11 is a beta-lactamase found in Klebsiella pneumoniae","OKP beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",2,1
ARO:3002458,LEN-8,"LEN-8 is a beta-lactamase found in Klebsiella pneumoniae","LEN beta-lactamase",penam;penem,Beta-lactam,"antibiotic inactivation",96,1
ARO:3002474,LEN-26,"LEN-26 is a beta-lactamase found in Escherichia coli and Klebsiella pneumoniae.","LEN beta-lactamase",penam;penem,Beta-lactam,"antibiotic inactivation",4,1
ARO:3002482,LRA-1,"LRA-1 is a beta-lactamase isolated from soil samples in Alaska","class A LRA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",12,1
ARO:3002483,LRA-5,"LRA-5 is a beta-lactamase isolated from soil samples in Alaska","class A LRA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",1202,16
ARO:3002484,LRA-13,"LRA-13 is a class D/class C fusion bifunctional beta-lactamase isolated from soil samples in Alaska.","class C LRA beta-lactamase;class D LRA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",6544,17
ARO:3002485,LRA-2,"LRA-2 is a beta-lactamase isolated from soil samples in Alaska","subclass B3 LRA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",73120,150
ARO:3002486,LRA-7,"LRA-7 is a beta-lactamase isolated from soil samples in Alaska","subclass B3 LRA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",888,6
ARO:3002487,LRA-8,"LRA-8 is a beta-lactamase isolated from soil samples in Alaska","subclass B3 LRA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",20584,166
ARO:3002488,LRA-9,"LRA-9 is a beta-lactamase isolated from soil samples in Alaska","subclass B3 LRA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",23272,96
ARO:3002489,LRA-10,"LRA-10 is a beta-lactamase isolated from soil samples in Alaska","class C LRA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",5374,23
ARO:3002492,LRA-18,"LRA-18 is a beta-lactamase isolated from soil samples in Alaska","class C LRA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",282,12
ARO:3002493,SRT-1,"SRT-1, isolated from Serratia marcescens, confers resistance to cephalosporins but not carbapenems, penems and monobactams.","SRT beta-lactamase",cephalosporin,Beta-lactam,"antibiotic inactivation",19212,95
ARO:3002494,SRT-2,"SRT-2, isolated from Serratia marcescens, is a chromosomal beta-lactamase that confers resistance to cefotaxime","SRT beta-lactamase",cephalosporin,Beta-lactam,"antibiotic inactivation",50108,237
ARO:3002498,PDC-2,"PDC-2 is a extended-spectrum beta-lactamase found in Pseudomonas aeruginosa.","PDC beta-lactamase",carbapenem;cephalosporin;monobactam,Beta-lactam,"antibiotic inactivation",14,3
ARO:3002500,PDC-3,"PDC-3 is a extended-spectrum beta-lactamase found in Pseudomonas aeruginosa.","PDC beta-lactamase",carbapenem;cephalosporin;monobactam,Beta-lactam,"antibiotic inactivation",112,3
ARO:3002501,PDC-4,"PDC-4 is a extended-spectrum beta-lactamase found in Pseudomonas aeruginosa.","PDC beta-lactamase",carbapenem;cephalosporin;monobactam,Beta-lactam,"antibiotic inactivation",74,2
ARO:3002502,PDC-5,"PDC-5 is a extended-spectrum beta-lactamase found in Pseudomonas aeruginosa.","PDC beta-lactamase",carbapenem;cephalosporin;monobactam,Beta-lactam,"antibiotic inactivation",98,2
ARO:3002506,PDC-7,"PDC-7 is a extended-spectrum beta-lactamase found in Pseudomonas aeruginosa.","PDC beta-lactamase",carbapenem;cephalosporin;monobactam,Beta-lactam,"antibiotic inactivation",106,2
ARO:3002507,PDC-8,"PDC-8 is a extended-spectrum beta-lactamase found in Pseudomonas aeruginosa.","PDC beta-lactamase",carbapenem;cephalosporin;monobactam,Beta-lactam,"antibiotic inactivation",424,8
ARO:3002508,PDC-9,"PDC-9 is a extended-spectrum beta-lactamase found in Pseudomonas aeruginosa.","PDC beta-lactamase",carbapenem;cephalosporin;monobactam,Beta-lactam,"antibiotic inactivation",56,1
ARO:3002509,PDC-10,"PDC-10 is a extended-spectrum beta-lactamase found in Pseudomonas aeruginosa.","PDC beta-lactamase",carbapenem;cephalosporin;monobactam,Beta-lactam,"antibiotic inactivation",20,1
ARO:3002510,LRA-3,"LRA-3 is a beta-lactamase isolated from soil samples in Alaska","subclass B3 LRA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",3932,27
ARO:3002511,LRA-12,"LRA-12 is a beta-lactamase isolated from soil samples in Alaska","subclass B3 LRA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",6832,62
ARO:3002512,LRA-17,"LRA-17 is a beta-lactamase isolated from soil samples in Alaska","subclass B3 LRA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",13970,74
ARO:3002513,LRA-19,"LRA-19 is a beta-lactamase isolated from soil samples in Alaska","subclass B3 LRA beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",47170,234
ARO:3002514,OCH-1,"OCH-1 beta-lactamase is an Ambler class C chromosomal-encoded beta-lactamases in Ochrobactrum anthropi","OCH beta-lactamase",cephalosporin;cephamycin;monobactam;penam;penem,Beta-lactam,"antibiotic inactivation",126,3
ARO:3002515,OCH-2,"OCH-2 beta-lactamase is an Ambler class C chromosomal-encoded beta-lactamases in Ochrobactrum anthropi","OCH beta-lactamase",cephalosporin;cephamycin;monobactam;penam;penem,Beta-lactam,"antibiotic inactivation",48,3
ARO:3002516,OCH-3,"OCH-3 beta-lactamase is an Ambler class C chromosomal-encoded beta-lactamases in Ochrobactrum anthropi","OCH beta-lactamase",cephalosporin;cephamycin;monobactam;penam;penem,Beta-lactam,"antibiotic inactivation",376,2
ARO:3002517,OCH-4,"OCH-4 beta-lactamase is an Ambler class C chromosomal-encoded beta-lactamases in Ochrobactrum anthropi","OCH beta-lactamase",cephalosporin;cephamycin;monobactam;penam;penem,Beta-lactam,"antibiotic inactivation",84,2
ARO:3002518,OCH-5,"OCH-5 beta-lactamase is an Ambler class C chromosomal-encoded beta-lactamases in Ochrobactrum anthropi","OCH beta-lactamase",cephalosporin;cephamycin;monobactam;penam;penem,Beta-lactam,"antibiotic inactivation",154,2
ARO:3002521,OCH-8,"OCH-8 beta-lactamase is an Ambler class C chromosomal-encoded beta-lactamases in Ochrobactrum anthropi","OCH beta-lactamase",cephalosporin;cephamycin;monobactam;penam;penem,Beta-lactam,"antibiotic inactivation",10,1
